event_type,player_positions,time,start,distance,angle,pressure,outcome
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (35.0, 15.0), 'RB': (31.5, 57.8), 'LCM': (41.0, 32.6), 'RCM': (33.4, 34.3), 'CDM': (41.4, 39.9), 'LW': (66.5, 14.0), 'ST': (71.9, 40.4), 'RW': (66.9, 64.5)}, 'away': {'GK': (115.0, 40.0), 'LCB': (98.9, 38.8), 'RCB': (90.0, 38.8), 'LB': (52.9, 23.6), 'RB': (46.6, 38.0), 'LCM': (49.9, 28.4), 'RCM': (53.4, 31.6), 'CDM': (49.4, 35.0), 'LW': (53.2, 16.5), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",27.0,"(66.5, 14.0)",66.5,14.0,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 38.6), 'RCB': (21.4, 38.4), 'LB': (30.3, 30.6), 'RB': (22.8, 47.5), 'LCM': (22.8, 47.5), 'RCM': (29.8, 45.8), 'CDM': (30.2, 44.1), 'LW': (65.0, 15.0), 'ST': (68.2, 39.3), 'RW': (65.0, 65.0)}, 'away': {'GK': (114.2, 39.2), 'LCB': (90.1, 40.7), 'RCB': (90.0, 40.0), 'LB': (79.3, 16.5), 'RB': (64.5, 50.0), 'LCM': (62.4, 51.7), 'RCM': (63.6, 43.3), 'CDM': (58.7, 36.5), 'LW': (55.5, 14.7), 'ST': (48.0, 44.2), 'RW': (56.8, 59.7)}}",31.0,"(62.4, 51.7)",62.4,51.7,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (23.4, 36.6), 'RCB': (16.9, 43.5), 'LB': (18.1, 21.7), 'RB': (17.4, 58.7), 'LCM': (44.2, 30.9), 'RCM': (34.2, 46.2), 'CDM': (28.0, 40.1), 'LW': (66.2, 15.9), 'ST': (72.9, 39.7), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (95.5, 34.7), 'RCB': (94.7, 45.0), 'LB': (97.8, 15.4), 'RB': (98.3, 65.0), 'LCM': (75.3, 28.7), 'RCM': (76.1, 43.9), 'CDM': (78.3, 41.2), 'LW': (52.7, 15.5), 'ST': (40.0, 40.0), 'RW': (50.0, 65.0)}}",1.0,"(76.1, 43.9)",76.1,43.9,0.47,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (26.7, 41.4), 'RCB': (30.0, 41.4), 'LB': (25.3, 26.2), 'RB': (14.1, 42.1), 'LCM': (17.4, 41.5), 'RCM': (17.8, 41.4), 'CDM': (38.4, 36.8), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.3, 39.7), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (49.6, 44.9), 'RCM': (65.0, 48.8), 'CDM': (67.3, 37.2), 'LW': (55.9, 16.0), 'ST': (48.7, 42.3), 'RW': (54.9, 66.5)}}",10.0,"(48.7, 42.3)",48.7,42.3,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (26.8, 39.9), 'LB': (31.5, 16.9), 'RB': (32.4, 58.8), 'LCM': (32.1, 25.2), 'RCM': (33.0, 24.8), 'CDM': (41.1, 27.5), 'LW': (63.9, 13.6), 'ST': (71.4, 41.2), 'RW': (64.5, 65.5)}, 'away': {'GK': (115.0, 40.0), 'LCB': (97.2, 40.1), 'RCB': (90.0, 40.1), 'LB': (78.1, 15.5), 'RB': (79.5, 60.9), 'LCM': (62.2, 35.9), 'RCM': (44.0, 30.3), 'CDM': (49.9, 27.3), 'LW': (55.0, 15.0), 'ST': (50.0, 40.0), 'RW': (54.9, 64.0)}}",24.0,"(63.9, 13.6)",63.9,13.6,0.1,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 39.9), 'RCB': (20.0, 39.9), 'LB': (30.0, 24.1), 'RB': (30.1, 51.8), 'LCM': (29.2, 31.7), 'RCM': (29.4, 30.8), 'CDM': (35.5, 31.6), 'LW': (65.0, 15.0), 'ST': (69.5, 41.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (92.5, 41.9), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (64.8, 30.7), 'RCM': (51.3, 30.4), 'CDM': (49.3, 26.8), 'LW': (55.0, 15.0), 'ST': (50.0, 40.0), 'RW': (54.9, 64.0)}}",25.0,"(50.0, 40.0)",50.0,40.0,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (31.9, 41.2), 'RCB': (21.9, 41.2), 'LB': (21.7, 29.8), 'RB': (24.4, 44.3), 'LCM': (29.9, 34.9), 'RCM': (35.7, 42.7), 'CDM': (21.6, 30.3), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (86.4, 13.1), 'RB': (85.0, 65.0), 'LCM': (61.3, 27.2), 'RCM': (68.3, 34.9), 'CDM': (57.2, 29.6), 'LW': (56.5, 16.4), 'ST': (52.1, 41.1), 'RW': (57.3, 66.8)}}",8.0,"(56.5, 16.4)",56.5,16.4,0.14,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (32.5, 18.0), 'RB': (28.9, 54.2), 'LCM': (30.7, 34.0), 'RCM': (46.5, 40.4), 'CDM': (29.6, 30.8), 'LW': (65.0, 15.0), 'ST': (71.2, 39.0), 'RW': (63.5, 64.6)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (97.1, 40.4), 'LB': (78.5, 16.5), 'RB': (78.6, 61.2), 'LCM': (52.1, 29.8), 'RCM': (44.3, 29.4), 'CDM': (50.2, 36.3), 'LW': (56.2, 15.5), 'ST': (50.0, 40.0), 'RW': (58.0, 64.7)}}",14.0,"(46.5, 40.4)",46.5,40.4,1.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (28.5, 40.3), 'LB': (30.0, 15.0), 'RB': (34.4, 57.7), 'LCM': (39.5, 28.0), 'RCM': (47.7, 30.5), 'CDM': (49.8, 30.1), 'LW': (65.7, 12.7), 'ST': (68.4, 38.6), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (89.9, 40.6), 'RCB': (94.0, 40.1), 'LB': (69.9, 19.6), 'RB': (82.6, 63.0), 'LCM': (48.9, 30.9), 'RCM': (54.4, 35.5), 'CDM': (40.9, 20.5), 'LW': (55.6, 14.9), 'ST': (48.3, 36.0), 'RW': (56.5, 64.7)}}",19.0,"(55.6, 14.9)",55.6,14.9,0.0,miss
,"{'home': {'GK': (3.6, 40.5), 'LCB': (30.0, 39.1), 'RCB': (21.3, 38.8), 'LB': (34.7, 14.1), 'RB': (33.0, 57.8), 'LCM': (59.9, 34.9), 'RCM': (46.9, 46.0), 'CDM': (51.4, 39.8), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (63.0, 65.2)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (92.9, 38.7), 'LB': (47.0, 31.7), 'RB': (50.8, 46.2), 'LCM': (58.8, 33.6), 'RCM': (48.1, 40.6), 'CDM': (51.6, 43.4), 'LW': (55.0, 15.0), 'ST': (50.6, 38.3), 'RW': (55.0, 65.0)}}",28.0,"(58.8, 33.6)",58.8,33.6,0.86,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (27.6, 33.7), 'RB': (31.8, 60.7), 'LCM': (43.5, 45.4), 'RCM': (45.3, 52.0), 'CDM': (46.8, 44.9), 'LW': (65.0, 15.0), 'ST': (73.1, 38.7), 'RW': (65.2, 64.4)}, 'away': {'GK': (116.6, 41.8), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (60.6, 34.5), 'RB': (64.6, 58.2), 'LCM': (58.5, 40.9), 'RCM': (57.4, 40.6), 'CDM': (45.7, 43.8), 'LW': (55.1, 16.8), 'ST': (45.6, 35.9), 'RW': (54.2, 64.7)}}",37.0,"(58.5, 40.9)",58.5,40.9,0.0,miss
